timestamp,outdoor_temp,supply_temp,return_temp,flow_rate,heat_load,power_consumption,indoor_temp,humidity
2017-01-03 00:00:00,14.0,25.0,24.0,,0.0,,,
2017-01-03 01:00:00,14.0,24.0,24.0,,0.0,,,
2017-01-03 02:00:00,14.0,23.0,23.0,,0.0,,,
2017-01-03 03:00:00,14.0,22.0,22.0,,0.0,,,
2017-01-03 04:00:00,14.0,22.0,22.0,,0.0,,,
2017-01-03 05:00:00,14.0,21.0,21.0,,30.0,,,
2017-01-03 06:00:00,14.0,31.0,23.0,,227.0,,,
2017-01-03 07:00:00,13.0,42.0,37.0,,128.0,,,
2017-01-03 08:00:00,15.0,41.0,37.0,,71.0,,,
2017-01-03 09:00:00,16.0,33.0,34.0,,1.0,,,
2017-01-03 10:00:00,16.0,34.0,30.0,,0.0,,,
2017-01-03 11:00:00,17.0,28.0,27.0,,0.0,,,
2017-01-03 12:00:00,17.0,25.0,25.0,,0.0,,,
2017-01-03 13:00:00,17.0,24.0,24.0,,0.0,,,
2017-01-03 14:00:00,17.0,23.0,23.0,,0.0,,,
2017-01-03 15:00:00,17.0,23.0,23.0,,15.0,,,
2017-01-03 16:00:00,10.0,35.0,23.0,,252.0,,,
2017-01-03 17:00:00,11.0,44.0,39.0,,151.0,,,
2017-01-03 18:00:00,11.0,45.0,39.0,,149.0,,,
2017-01-03 19:00:00,11.0,44.0,39.0,,161.0,,,
2017-01-03 20:00:00,10.0,45.0,40.0,,150.0,,,
2017-01-03 21:00:00,10.0,40.0,40.0,,0.0,,,
2017-01-03 22:00:00,11.0,31.0,31.0,,0.0,,,
2017-01-03 23:00:00,11.0,29.0,29.0,,0.0,,,
2017-01-04 00:00:00,15.0,19.0,20.0,,0.0,,,
2017-01-04 01:00:00,14.0,21.0,19.0,,0.0,,,
2017-01-04 02:00:00,14.0,21.0,19.0,,1.0,,,
2017-01-04 03:00:00,14.0,25.0,18.0,,1.0,,,
2017-01-04 04:00:00,13.0,25.0,18.0,,1.0,,,
2017-01-04 05:00:00,13.0,24.0,18.0,,200.0,,,
2017-01-04 06:00:00,13.0,44.0,37.0,,168.0,,,
2017-01-04 07:00:00,13.0,44.0,39.0,,139.0,,,
2017-01-04 08:00:00,14.0,39.0,39.0,,1.0,,,
2017-01-04 09:00:00,16.0,31.0,31.0,,0.0,,,
2017-01-04 10:00:00,17.0,29.0,28.0,,0.0,,,
2017-01-04 11:00:00,17.0,25.0,24.0,,0.0,,,
2017-01-04 12:00:00,18.0,23.0,23.0,,0.0,,,
2017-01-04 13:00:00,18.0,23.0,23.0,,0.0,,,
2017-01-04 14:00:00,19.0,23.0,22.0,,0.0,,,
2017-01-04 15:00:00,19.0,22.0,22.0,,0.0,,,
2017-01-04 16:00:00,20.0,21.0,22.0,,0.0,,,
2017-01-04 17:00:00,19.0,21.0,21.0,,0.0,,,
2017-01-04 18:00:00,19.0,21.0,21.0,,0.0,,,
2017-01-04 19:00:00,18.0,21.0,21.0,,0.0,,,
2017-01-04 20:00:00,18.0,21.0,21.0,,0.0,,,
2017-01-04 21:00:00,17.0,20.0,21.0,,0.0,,,
2017-01-04 22:00:00,17.0,20.0,21.0,,0.0,,,
2017-01-04 23:00:00,17.0,20.0,21.0,,0.0,,,
2017-01-05 00:00:00,16.99139167862267,20.007173601147777,21.004304160688665,,0.0,,,
2017-01-05 01:00:00,16.98278335724534,20.014347202295554,21.00860832137733,,0.0,,,
2017-01-05 02:00:00,16.974175035868004,20.02152080344333,21.012912482065996,,0.0,,,
2017-01-05 03:00:00,16.965566714490674,20.028694404591104,21.01721664275466,,0.0,,,
2017-01-05 04:00:00,16.956958393113343,20.03586800573888,21.02152080344333,,0.0,,,
2017-01-05 05:00:00,16.948350071736012,20.043041606886657,21.025824964131996,,0.0,,,
2017-01-05 06:00:00,16.93974175035868,20.050215208034434,21.03012912482066,,0.0,,,
2017-01-05 07:00:00,16.931133428981347,20.05738880918221,21.034433285509326,,0.0,,,
2017-01-05 08:00:00,16.922525107604017,20.064562410329987,21.03873744619799,,0.0,,,
2017-01-05 09:00:00,16.913916786226686,20.07173601147776,21.043041606886657,,0.0,,,
2017-01-05 10:00:00,16.905308464849355,20.078909612625537,21.047345767575322,,0.0,,,
2017-01-05 11:00:00,16.896700143472025,20.086083213773314,21.051649928263988,,0.0,,,
2017-01-05 12:00:00,16.88809182209469,20.09325681492109,21.055954088952653,,0.0,,,
2017-01-05 13:00:00,16.87948350071736,20.100430416068868,21.06025824964132,,0.0,,,
2017-01-05 14:00:00,16.87087517934003,20.107604017216644,21.064562410329987,,0.0,,,
2017-01-05 15:00:00,16.862266857962698,20.114777618364418,21.068866571018653,,0.0,,,
2017-01-05 16:00:00,16.853658536585368,20.121951219512194,21.073170731707318,,0.0,,,
2017-01-05 17:00:00,16.845050215208033,20.12912482065997,21.077474892395983,,0.0,,,
